"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","919","David CHACON GUZMAN","15","Mx pro","Honda","Bogotá D.C.","Todo terreno track","","1:27.488","16","","24:10.111"
"2","66","Miguel Angel ROJAS ALBA","13","Mx pro","KTM","Bogotá D.C.","Racing pilots Academy","51.634","1:31.064","16","","25:01.745"
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","11","Mx pro","KTM","Putumayo","TEAM RACING MOCOA","55.770","1:28.072","16","","25:05.881"
"4","170","Juan Jose HOYOS VELEZ","10","Mx pro","Husqvarna","Risaralda","CLUB ENDUROCROSS","1 Vuelta","1:31.327","15","","24:40.468"
"5","107","Miguel Angel FLOREZ VALENCIA","9","Mx pro","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:35.611","15","","24:45.269"
"6","100","Juan Felipe Pulido","8","Mx pro","Yamaha","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:35.343","15","","25:26.510"
"NT","211","Yeison Alexander QUIÑONES RICO","0","Mx pro","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
