"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","206","Juan Martin HOYOS VASQUEZ","50 cc","31","0","Yamaha","Antioquia","STUNT FIVE","","3","13","15"
"2","607","Milan ORTIZ DUQUE","50 cc","30","1","Cobra","Bogotá D.C.","Racing pilots Academy","","2","15","13"
"3","80-E","Emmanuel HIGUERA CASTAÑO","50 cc","23","8","Yamaha","Bogotá D.C.","Todo terreno track","","1","11","11"
"4","717","Mariana ARISMEDI TRUJILLO","50 cc","19","12","Cobra","Bogotá D.C.","Todo terreno track","","1","9","9"
"5","101","Martín Silva OROZCO","50 cc","19","12","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","1","10","8"
"6","716","Thomas Andres MAHECHA CARRILLO","50 cc","15","16","Cobra","Bogotá D.C.","Racing pilots Academy","","0","5","10"
"7","317","Elias YEPES ZAMORANO","50 cc","15","16","KTM","Antioquia","CLUB GRILLOS RACING","","1","7","7"
"8","133","Jorge Mario OCAMPO MEJIA","50 cc","14","17","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","8","5"
"9","13","Valery DIAZ VELASQUEZ","50 cc","13","18","Cobra","Bogotá D.C.","Todo terreno track","","1","6","6"
"10","499","Jared PEREZ CASTILLO","50 cc","5","26","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1","4","0"
