"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","235","Paco TORRES CASTAÑEDA","3","Mx master","Yamaha","Bogotá D.C.","Xspeed Racing","","1:27.632","8","","12:29.140"
"2","36","Jhon Jairo PINEDA VELASQUEZ","2","Mx master","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","5.928","1:27.740","8","","12:35.068"
"3","191","Jorge Pulido","1","Mx master","Yamaha","Bogotá D.C.","Xspeed Racing","35.015","1:31.914","8","","13:04.155"
"4","79","Ricardo RESTREPO URIBE","1","Mx master","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","38.480","1:33.913","8","","13:07.620"
"5","335","JOSE LUIS IBARRA VALLEJO","1","Mx master","Unite Motor","Putumayo","CLUB EXTREME RACING","1:10.057","1:32.014","8","","13:39.197"
"6","214","Damian Monroy Valencia","1","Mx master","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:12.455","1:38.005","8","","13:41.595"
"7","979","Luis Alejandro Atuesta Ardila","1","Mx master","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1 Vuelta","1:43.118","7","","12:40.877"
"NT","523","Richard Alexander ALARCON ALVAREZ","0","Mx master","KTM","Putumayo","CLUB EXTREME RACING","NT","","","",""
