"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","15","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","","1:31.773","14","","23:06.013"
"2","777","Euclides Antonio TORRES ROSALES","13","125 cc","KTM","Bogotá D.C.","Xspeed Racing","53.503","1:35.337","14","","23:59.516"
"3","184","Jose Alejandro MOYANO MORENO","11","125 cc","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1:33.085","1:39.672","14","","24:39.098"
"4","710","Juan David MENDOZA DUARTE","10","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:39.663","13","","23:24.369"
"5","113","Tomas VERGARA ARANZAZU","9","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:42.876","13","","23:50.877"
"6","321","Jorge Esteban VARGAS GONZALES","8","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:42.732","13","","24:11.860"
"7","247","Martin Estrada Zapata","7","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:43.239","13","","24:17.522"
"8","700","Maximiliano GUERRA ALVAREZ","6","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:43.612","13","","24:18.765"
"9","199","Nicolas Felipe REY REY","5","125 cc","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","1:39.305","13","","24:35.724"
"10","281","Moises BETANCUR OCHOA","4","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:46.386","13","","24:53.842"
"11","818-E","Santiago FERRO CASTRO","3","125 cc","Yamaha","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:46.152","13","","24:56.183"
"12","222","Maximiliano RAMIREZ RESTREPO","2","125 cc","Yamaha","Antioquia","STUNT FIVE","2 Vueltas","1:39.985","12","","23:32.681"
"13","331","Juan Pablo CARMONA GIRALDO","1","125 cc","GasGas","Bogotá D.C.","Todo terreno track","2 Vueltas","1:53.654","12","","23:53.058"
"14","630","Samuel Andres PINTO DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","1:44.871","12","","25:04.204"
"15","454","Mateo ALVAREZ GONZALEZ","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","1:53.581","11","","23:21.447"
"NE","36-2","Thomas PINEDA GONZALEZ","0","125 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","NE","","","","17.083"
"NE","114","Miguel Angel LOPEZ MARTINEZ","0","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","NE","","","",""
