"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Junior","Yamaha","Bogotá D.C.","Xspeed Racing","","1:28.233","12","","18:44.328"
"2","120","Matias GOMEZ ORJUELA","13","85 cc Junior","KTM","Bogotá D.C.","Todo terreno track","2.236","1:30.472","12","","18:46.564"
"3","222","Maximiliano RAMIREZ RESTREPO","11","85 cc Junior","Yamaha","Antioquia","STUNT FIVE","5.051","1:30.656","12","","18:49.379"
"4","331","Juan Pablo CARMONA GIRALDO","10","85 cc Junior","GasGas","Bogotá D.C.","Todo terreno track","1:02.103","1:34.237","12","","19:46.431"
"5","113","Tomas VERGARA ARANZAZU","9","85 cc Junior","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1:10.314","1:33.437","12","","19:54.642"
"6","301","Sebastian SANDOVAL VERGARA","8","85 cc Junior","KTM","Bogotá D.C.","Xspeed Racing","1:35.626","1:36.075","12","","20:19.954"
"7","805","Adrian Roberto HERMIDA GONZALEZ","7","85 cc Junior","KTM","Bogotá D.C.","Todo terreno track","1 Vuelta","1:40.271","11","","19:15.298"
"8","762","Oscar Alejandro VALBUENA ECHEVERRI","6","85 cc Junior","GasGas","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","1 Vuelta","1:44.475","11","","20:01.497"
