"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","607","Milan ORTIZ DUQUE","15","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","","1:42.092","8","","14:26.206"
"2","206","Juan Martin HOYOS VASQUEZ","13","50 cc","Yamaha","Antioquia","STUNT FIVE","2.060","1:41.392","8","","14:28.266"
"3","80-E","Emmanuel HIGUERA CASTAÑO","11","50 cc","Yamaha","Bogotá D.C.","Todo terreno track","34.413","1:48.027","8","","15:00.619"
"4","101","Martín Silva OROZCO","10","50 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1:06.377","1:52.330","8","","15:32.583"
"5","717","Mariana ARISMEDI TRUJILLO","9","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1:10.125","1:50.234","8","","15:36.331"
"6","133","Jorge Mario OCAMPO MEJIA","8","50 cc","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:17.122","1:51.146","8","","15:43.328"
"7","317","Elias YEPES ZAMORANO","7","50 cc","KTM","Antioquia","CLUB GRILLOS RACING","1:58.222","1:55.710","8","","16:24.428"
"8","13","Valery DIAZ VELASQUEZ","6","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1 Vuelta","1:57.957","7","","14:57.253"
"9","716","Thomas Andres MAHECHA CARRILLO","5","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","1 Vuelta","1:54.822","7","","15:08.516"
"10","499","Jared PEREZ CASTILLO","4","50 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","2 Vueltas","2:06.616","6","","14:56.836"
