"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","75","Juan Pablo Cardona Carvajal","Inicio","31","0","Honda","Antioquia","CLUB MOTOCROSS YARUMAL","","1","15","15"
"2","707-E","Cristian Felipe Aguirre Vélez","Inicio","26","5","Yamaha","Antioquia","Club Motocross Medellín","","3","13","10"
"3","97","Juan Camilo Restrepo Ospina","Inicio","24","7","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","10","13"
"4","93-E","JEFERSSON JAVIER DIAZ BARRERA","Inicio","23","8","KTM","Bogotá D.C.","Todo terreno track","","1","11","11"
"5","169-E","IVAN SANTIAGO CHAPARRO PRIETO","Inicio","18","13","Kawasaki","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","8","9"
"6","328-E","Jersson Eduardo CALA MARTINEZ","Inicio","16","15","KTM","Bogotá D.C.","Todo terreno track","","1","7","8"
"7","227","Leonel giraldo jaramillo","Inicio","11","20","KTM","Tolima","GR 522 RACING","","2","9","0"
"8","299-E","CARLOS JULIAN PATIÑO MOLANO","Inicio","8","23","KTM","Cundinamarca","CLUB GIRARDOT RACING","","1","0","7"
"EX","725-E","Juan Camilo ACOSTA PRIETO","Inicio","0","31","KTM","Bogotá D.C.","Todo terreno track","","0","0","0"
