"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","423","Martin CHICA CORREA","15","Mx pre-expertos","Beta","Bogotá D.C.","Todo terreno track","","1:33.293","11","","17:53.841"
"2","799-E","MANUEL FELIPE RINCON ACEVEDO","13","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","11.082","1:34.289","11","","18:04.923"
"3","184","Jose Alejandro MOYANO MORENO","11","Mx pre-expertos","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","25.699","1:34.128","11","","18:19.540"
"4","213","Jhon Alexander PICON BOLAÑOS","10","Mx pre-expertos","KTM","Cesar","VIRUS RACING","1:13.875","1:34.923","11","","19:07.716"
"5","721-E","David Santiago Mejía corzo","9","Mx pre-expertos","KTM","Bogotá D.C.","Xspeed Racing","1:13.876","1:39.276","11","","19:07.717"
"6","336","DAVID ALEJANDRO IBARRA ECHEVERRY","8","Mx pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","1:28.348","1:36.560","11","","19:22.189"
"7","454","Mateo ALVAREZ GONZALEZ","7","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:44.899","10","","18:12.843"
"8","29","Jeronimo PIEDRAHITA HINCAPIE","6","Mx pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","3 Vueltas","2:19.572","8","","19:48.847"
"9","269","Jhon santiago HERNANDEZ BERMUDEZ","5","Mx pre-expertos","Husqvarna","Valle del Cauca","Carasucias","5 Vueltas","1:41.336","6","","18:15.320"
"NT","53","Simón RESTREPO GUZMAN","0","Mx pre-expertos","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","NT","","","",""
"NT","725-E","Juan Camilo ACOSTA PRIETO","0","Mx pre-expertos","KTM","Bogotá D.C.","Todo terreno track","NT","","","",""
