"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","235","Paco TORRES CASTAÑEDA","Mx master","31","0","Yamaha","Bogotá D.C.","Xspeed Racing","","3","13","15"
"2","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","30","1","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","2","15","13"
"3","79","Ricardo RESTREPO URIBE","Mx master","22","9","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","11","10"
"4","335","JOSE LUIS IBARRA VALLEJO","Mx master","20","11","Unite Motor","Putumayo","CLUB EXTREME RACING","","1","8","11"
"5","191","Jorge Pulido","Mx master","20","11","Yamaha","Bogotá D.C.","Xspeed Racing","","1","10","9"
"6","214","Damian Monroy Valencia","Mx master","18","13","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","8"
"7","979","Luis Alejandro Atuesta Ardila","Mx master","15","16","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","","1","7","7"
"NT","523","Richard Alexander ALARCON ALVAREZ","Mx master","0","31","KTM","Putumayo","CLUB EXTREME RACING","","0","0","0"
