"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","141","Isabela VILLEGAS BRAND","Femenina A","33","0","Yamaha","Valle del Cauca","Team Potenza","","3","15","15"
"2","32","Daniella ACOSTA SABOGAL","Femenina A","25","8","Husqvarna","Bogotá D.C.","Todo terreno track","","1","11","13"
"3","555","Luciana MORENO SALCEDO","Femenina A","25","8","Yamaha","Bogotá D.C.","Xspeed Racing","","2","13","10"
"4","727","Alexandra NARVAEZ OLAYA","Femenina A","22","11","Honda","Risaralda","CLUB LOS GUEPARDOS","","1","10","11"
"5","828","Karol Melisa VARGAS CARVAJAL","Femenina A","19","14","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","","1","9","9"
