"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:28.895","10","","15:35.343"
"2","120","Matias GOMEZ ORJUELA","13","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","11.314","1:30.433","10","","15:46.657"
"3","626","Juan Antonio PIEDRAHITA VARELA","11","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","22.664","1:30.188","10","","15:58.007"
"4","121","Martin LONDOÑO VARGAS","10","85 cc Mini","Husqvarna","Bogotá D.C.","Xspeed Racing","23.995","1:31.866","10","","15:59.338"
"5","413","Samuel Emilio CAMACHO PAEZ","9","85 cc Mini","GasGas","Bogotá D.C.","Xspeed Racing","36.982","1:31.604","10","","16:12.325"
"6","888","Maximiliano YEPES ZAMORANO","8","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","56.930","1:34.875","10","","16:32.273"
"7","420","Esteban ARCILA ACEVEDO","7","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","1:07.817","1:34.520","10","","16:43.160"
"8","35","Juan Angel MORALES GALLEGO","6","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:35.125","1:36.051","10","","17:10.468"
"9","805","Adrian Roberto HERMIDA GONZALEZ","5","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","1:37.393","1:39.604","10","","17:12.736"
"10","28","Sofia ESCOBAR HINCAPIE","4","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","2 Vueltas","1:42.349","8","","16:35.806"
"NT","139","Valentino ZULETA CARDONA","0","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","1:35.438","4","","7:07.280"
