"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","919","David CHACON GUZMAN","Mx pro","33","0","Honda","Bogotá D.C.","Todo terreno track","","3","15","15"
"2","170","Juan Jose HOYOS VELEZ","Mx pro","24","9","Husqvarna","Risaralda","CLUB ENDUROCROSS","","1","10","13"
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx pro","24","9","KTM","Putumayo","TEAM RACING MOCOA","","2","11","11"
"4","66","Miguel Angel ROJAS ALBA","Mx pro","23","10","KTM","Bogotá D.C.","Racing pilots Academy","","0","13","10"
"5","100","Juan Felipe Pulido","Mx pro","18","15","Yamaha","Bogotá D.C.","Xspeed Racing","","1","8","9"
"6","107","Miguel Angel FLOREZ VALENCIA","Mx pro","18","15","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","8"
"7","211","Yeison Alexander QUIÑONES RICO","Mx pro","1","32","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","","1","0","0"
