"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","139","Valentino ZULETA CARDONA","65 cc","28","0","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","3","10","15"
"2","888","Maximiliano YEPES ZAMORANO","65 cc","28","0","Yamaha","Antioquia","CLUB GRILLOS RACING","","2","15","11"
"3","121","Martin LONDOÑO VARGAS","65 cc","27","1","Cobra","Bogotá D.C.","Xspeed Racing","","1","13","13"
"4","35","Juan Angel MORALES GALLEGO","65 cc","22","6","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","11","10"
"5","998","Jeronimo pulgarin cardona","65 cc","19","9","KTM","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","9","9"
"6","716","Thomas Andres MAHECHA CARRILLO","65 cc","17","11","Yamaha","Bogotá D.C.","Racing pilots Academy","","1","8","8"
"7","99","Benjamin ROCHA RUEDA","65 cc","15","13","KTM","Bogotá D.C.","Xspeed Racing","","1","7","7"
"8","232","thiago martinez mogollon","65 cc","13","15","KTM","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","","1","6","6"
"NT","602","dominic diaz herrera","65 cc","0","28","GasGas","Bogotá D.C.","Xspeed Racing","","0","0","0"
