"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","206","Juan Martin HOYOS VASQUEZ","15","50 cc","Yamaha","Antioquia","STUNT FIVE","","1:44.652","8","","14:31.897"
"2","607","Milan ORTIZ DUQUE","13","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","4.911","1:45.204","8","","14:36.808"
"3","80-E","Emmanuel HIGUERA CASTAÑO","11","50 cc","Yamaha","Bogotá D.C.","Todo terreno track","42.751","1:47.562","8","","15:14.648"
"4","716","Thomas Andres MAHECHA CARRILLO","10","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","1:07.930","1:53.377","8","","15:39.827"
"5","717","Mariana ARISMEDI TRUJILLO","9","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1:52.005","1:59.432","8","","16:23.902"
"6","101","Martín Silva OROZCO","8","50 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1 Vuelta","1:55.938","7","","14:45.592"
"7","317","Elias YEPES ZAMORANO","7","50 cc","KTM","Antioquia","CLUB GRILLOS RACING","1 Vuelta","2:00.255","7","","15:05.493"
"8","13","Valery DIAZ VELASQUEZ","6","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1 Vuelta","2:09.538","7","","15:52.385"
"9","133","Jorge Mario OCAMPO MEJIA","5","50 cc","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","2:13.145","5","","16:23.519"
"NT","499","Jared PEREZ CASTILLO","0","50 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","NT","2:06.019","4","","9:17.948"
