"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 cc Junior","33","0","Yamaha","Bogotá D.C.","Xspeed Racing","","3","15","15"
"2","222","Maximiliano RAMIREZ RESTREPO","85 cc Junior","26","7","Yamaha","Antioquia","STUNT FIVE","","2","11","13"
"3","120","Matias GOMEZ ORJUELA","85 cc Junior","25","8","KTM","Bogotá D.C.","Todo terreno track","","1","13","11"
"4","113","Tomas VERGARA ARANZAZU","85 cc Junior","20","13","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","9","10"
"5","331","Juan Pablo CARMONA GIRALDO","85 cc Junior","20","13","GasGas","Bogotá D.C.","Todo terreno track","","1","10","9"
"6","301","Sebastian SANDOVAL VERGARA","85 cc Junior","17","16","KTM","Bogotá D.C.","Xspeed Racing","","1","8","8"
"7","805","Adrian Roberto HERMIDA GONZALEZ","85 cc Junior","15","18","KTM","Bogotá D.C.","Todo terreno track","","1","7","7"
"8","762","Oscar Alejandro VALBUENA ECHEVERRI","85 cc Junior","13","20","GasGas","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","","1","6","6"
