"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","255","Juan Jose LEYTON ERASO","15","Risaralda","CLUB LOS GUEPARDOS","KTM","6","12:52.339","Infantil enduro 1","1:54.951","1","",""
"2","21","Jeronimo CASTILLO JIMENEZ","13","Bogotá D.C.","Xspeed Racing","KTM","6","13:12.613","Infantil enduro 1","2:00.402","5","20.274",""
"3","78","Aranza ORTIZ ULLOA","11","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","6","13:36.602","Infantil enduro 1","2:01.092","1","44.263",""
"4","110","Isaak Dominic CAICEDO CALLE","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","6","14:01.497","Infantil enduro 1","2:01.563","2","1:09.158",""
"5","831","Marthin Joel LIBERATO LONDOÑO","9","Bogotá D.C.","Racing pilots Academy","Yamaha","5","14:27.834","Infantil enduro 1","2:16.556","3","1 Vuelta",""
