"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","82","Carlos Eduardo PELAEZ LONDOÑO","15","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","13","1:47:07.514","Master B","7:03.835","1","",""
"2","476","Adolfo León RENGIFO","13","Valle del Cauca","Team Potenza","Husqvarna","9","1:47:34.804","Master B","8:29.637","6","4 Vueltas",""
"3","188","Dino Osvaldo RENTERIA SALAZAR","11","Valle del Cauca","Club VALLE","Husqvarna","9","1:48:32.633","Master B","8:38.892","6","4 Vueltas",""
"4","73","Andres GONZALEZ URIBE","10","Antioquia","CLUB GRILLOS RACING","KTM","7","1:46:56.474","Master B","11:01.232","1","6 Vueltas",""
"5","436","Carlos Arturo ISAZA TORO","9","Quindío","CLUB MONSTER GARAGE","GasGas","5","1:42:15.240","Master B","13:19.918","1","8 Vueltas",""
"6","477","Bernardo ALVAREZ ACERO","8","Valle del Cauca","Carasucias","Husqvarna","5","1:54:42.320","Master B","17:32.184","1","8 Vueltas",""
