"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","21","Jeronimo CASTILLO JIMENEZ","15","Bogotá D.C.","Xspeed Racing","KTM","6","12:10.680","Infantil enduro 1","1:54.080","5","",""
"2","255","Juan Jose LEYTON ERASO","13","Risaralda","CLUB LOS GUEPARDOS","KTM","6","12:24.951","Infantil enduro 1","1:50.394","4","14.271",""
"3","110","Isaak Dominic CAICEDO CALLE","11","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","6","13:38.967","Infantil enduro 1","1:55.185","5","1:28.287",""
"4","78","Aranza ORTIZ ULLOA","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","6","13:48.773","Infantil enduro 1","2:03.013","5","1:38.093",""
"5","831","Marthin Joel LIBERATO LONDOÑO","9","Bogotá D.C.","Racing pilots Academy","Yamaha","5","14:09.587","Infantil enduro 1","2:27.041","1","1 Vuelta",""
