"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","135","Juan David HURTADO PARRA","15","Caldas","CLUB LA DORADA","Honda","10","1:19:05.193","NO RACER","6:23.211","1","",""
"2","288","Daniel Lopez M","13","Valle del Cauca","Carasucias","Hero","9","1:26:56.085","NO RACER","7:36.863","1","1 Vuelta",""
"3","858","Sebastian CLAVIJO LONDOÑO","11","Valle del Cauca","Carasucias","Honda","6","1:35:37.587","NO RACER","12:13.504","2","4 Vueltas",""
"4","216","Carlos Mario HERNANDEZ RAMIREZ","10","Quindío","CLUB MONSTER GARAGE","Husqvarna","4","1:25:50.651","NO RACER","11:05.716","1","6 Vueltas",""
