"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","180","Duvan Ferney SALDAÑA MEDINA","15","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","15","1:42:51.091","Enduro 3","6:07.324","1","",""
"2","231","Juan Camilo DORADO GOMEZ","13","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Beta","15","1:44:35.878","Enduro 3","6:07.933","8","1:44.787",""
"3","105","Hosney Bustos Bustos","11","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","13","1:51:07.520","Enduro 3","6:44.311","1","2 Vueltas",""
"4","390","Diego AGUILAR MARTINEZ","10","Valle del Cauca","Carasucias","KTM","13","1:55:21.578","Enduro 3","7:17.799","5","2 Vueltas",""
"5","500","Jorge Ivan RAMIREZ DAZA","9","Cesar","Club Cesar","KTM","12","1:46:11.703","Enduro 3","7:51.983","7","3 Vueltas",""
"6","315","Luis Eduardo ORTIZ CONTRERAS","8","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","11","1:44:06.867","Enduro 3","8:02.394","1","4 Vueltas",""
"7","267","sebastian rodriguez ruiz","7","Bogotá D.C.","Todo terreno track","Husqvarna","9","2:00:10.359","Enduro 3","9:37.231","4","6 Vueltas",""
"8","17","Franciso ALVAREZ NIÑO","6","Valle del Cauca","Carasucias","KTM","8","1:13:21.669","Enduro 3","6:49.523","4","7 Vueltas",""
"NT","10","Cesar CORREA ESCOBAR","0","Valle del Cauca","Carasucias","Husqvarna","","","Enduro 3","","0","NT",""
