"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","826","Andres Felipe RODRIGUEZ CASTILLO","15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","6","44:04.219","Infantil enduro 2","6:39.118","4","",""
"2","801","Samuel MAYA SANCHEZ","13","Valle del Cauca","Carasucias","Yamaha","6","45:31.511","Infantil enduro 2","6:34.135","3","1:27.292",""
"3","99","Benjamin ROCHA RUEDA","11","Bogotá D.C.","Xspeed Racing","KTM","6","48:21.826","Infantil enduro 2","7:20.656","3","4:17.607",""
"4","777","Mariana ARISMEDI TRUJILLO","10","Bogotá D.C.","Todo terreno track","KTM","6","50:10.085","Infantil enduro 2","7:19.520","6","6:05.866",""
"5","449","Ivvana Rugeles Avendaño","9","Caldas","CLUB VILLAMARIA RACING CLUB","KTM","5","44:53.519","Infantil enduro 2","7:48.270","3","1 Vuelta",""
"6","727","AGUSTIN GALEANO TORRES","8","Bogotá D.C.","Xspeed Racing","GasGas","4","48:17.295","Infantil enduro 2","9:58.832","2","2 Vueltas",""
