"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","999","Gino MOLINA FALDUTO","15","Valle del Cauca","Carasucias","GasGas","13","1:41:00.991","Master A","6:30.396","8","",""
"2","176","Nestor CHAPARRO PARRA","13","Bogotá D.C.","Xspeed Racing","GasGas","12","1:48:39.022","Master A","7:02.416","7","1 Vuelta",""
"3","369","Mario Andrés Díaz Serrato","11","Valle del Cauca","Team Potenza","KTM","11","1:41:37.566","Master A","7:32.521","1","2 Vueltas",""
"4","8","Sebastian VELEZ ARANGO","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","9","1:41:24.301","Master A","6:51.746","1","4 Vueltas",""
"5","357","Juan Jose DIAZ ROMO","9","Cesar","ENDURO CESAR","KTM","8","1:49:22.722","Master A","8:45.316","6","5 Vueltas",""
"6","587","Bernardo ALVAREZ NIÑO","8","Valle del Cauca","Carasucias","KTM","8","1:51:43.445","Master A","10:38.903","5","5 Vueltas",""
"7","882","William Eduardo CHIQUIZA GARZON","7","Cundinamarca","CLUB IGUANA RACING GIRARDOT","GasGas","7","1:50:49.669","Master A","12:48.387","1","6 Vueltas",""
"8","412","Carlos Augusto GIRALDO BEDOYA","6","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","GasGas","6","1:49:35.389","Master A","8:04.132","1","7 Vueltas",""
