"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","126","Simon OCAMPO BURBANO","15","Bogotá D.C.","Xspeed Racing","KTM","7","1:10:27.069","INFANTIL ENDURO 3","7:44.284","3","",""
"2","626","Juan Antonio PIEDRAHITA VARELA","13","Risaralda","CLUB LOS GUEPARDOS","GasGas","7","1:13:43.682","INFANTIL ENDURO 3","8:02.346","1","3:16.613",""
"3","175","Joan esteban Valdez Osorio","11","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","6","1:06:37.541","INFANTIL ENDURO 3","8:33.503","2","1 Vuelta",""
"4","24","Juan Jose NAVARRETE SANCHEZ","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","6","1:09:25.040","INFANTIL ENDURO 3","8:56.860","2","1 Vuelta",""
"5","120","Matias GOMEZ ORJUELA","9","Bogotá D.C.","Todo terreno track","KTM","4","1:14:16.732","INFANTIL ENDURO 3","12:56.416","3","3 Vueltas",""
"6","615","samuel hernandez rabe","8","Valle del Cauca","Carasucias","GasGas","2","1:09:09.422","INFANTIL ENDURO 3","18:29.316","1","5 Vueltas",""
