"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","878","Sebastián Vela Villa","15","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Beta","10","1:18:23.859","INICIO","6:02.573","2","",""
"2","91","Brayhan Exneyder ALVAREZ RESTREPO","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","8","1:23:17.794","INICIO","8:42.962","2","2 Vueltas",""
"3","55","Jorge Hernan Giraldo Gallego","11","Caldas","CLUB DE MOTOCICLISMO JP36","KTM","8","1:26:44.225","INICIO","9:19.118","3","2 Vueltas",""
"4","107","jorge Hernan montoya Jimenez","10","Caldas","CLUB DE MOTOCICLISMO JP36","KTM","7","1:22:12.715","INICIO","8:40.282","2","3 Vueltas",""
"5","100","Federico CALLE HOYOS","9","Cundinamarca","CLUB GIRARDOT RACING","Beta","6","1:37:46.132","INICIO","11:50.995","1","4 Vueltas",""
