"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","97","Juan David OLAYA LOPEZ","15","Valle del Cauca","Team Potenza","Beta","14","1:45:02.360","Enduro 2","6:39.594","9","",""
"2","264","Killer Danilo GONZALEZ ROJAS","13","Cundinamarca","Club Velocidad Bogotá","Yamaha","13","1:44:17.471","Enduro 2","6:55.588","3","1 Vuelta",""
"3","88","Pablo ANCIZAR KLOCH","11","Bogotá D.C.","Todo terreno track","Honda","13","1:50:25.640","Enduro 2","7:00.047","1","1 Vuelta",""
"4","379","Cesar CASTRO GUTIERREZ","10","Cundinamarca","CLUB GIRARDOT RACING","Beta","12","1:42:57.334","Enduro 2","7:09.852","4","2 Vueltas",""
"NT","27","Diego Fernando GUEVARA LINARES","0","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","5","1:24:22.839","Enduro 2","8:40.242","4","NT",""
