"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Husqvarna","16","1:44:28.343","Junior","5:29.733","2","",""
"2","226","JOHAN DAVID BARRETO GOMEZ","13","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","16","1:50:12.348","Junior","5:45.635","2","5:44.005",""
"3","25","Juan Jose GIRALDO HENAO","11","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","16","1:50:33.012","Junior","6:10.701","11","6:04.669",""
"4","333","Santiago Ramirez Cabrera","10","Bogotá D.C.","Xspeed Racing","KTM","16","1:50:34.057","Junior","5:54.023","2","6:05.714",""
"5","23","Martin CHICA CORREA","9","Bogotá D.C.","Todo terreno track","Beta","14","1:51:17.885","Junior","6:10.743","2","2 Vueltas",""
"6","876","Mateo VELA VILLA","8","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Beta","13","1:44:41.246","Junior","7:05.813","7","3 Vueltas",""
"7","63","Juan Gabriel ALVAREZ ORTIZ","7","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","13","1:47:27.914","Junior","5:56.767","1","3 Vueltas",""
"8","722","Alan HERNANDEZ RABE","6","Valle del Cauca","Carasucias","Sherco","10","1:51:35.135","Junior","8:32.597","10","6 Vueltas",""
"9","32","Daniella ACOSTA SABOGAL","5","Bogotá D.C.","Todo terreno track","Husqvarna","10","1:53:12.408","Junior","8:02.142","2","6 Vueltas",""
