"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","199","Nicolas Felipe REY REY","15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","13","1:45:41.135","Junior novatos","6:13.924","2","",""
"2","26","Juan Jacobo RENGIFO GOMEZ","13","Valle del Cauca","Team Potenza","Husqvarna","11","1:43:51.119","Junior novatos","6:55.397","2","2 Vueltas",""
