"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","96","Nestor Felipe URBINA MORENO","15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","14","1:44:44.782","Enduro 1","6:40.545","9","",""
"2","65","Tomas JARAMILLO CARRANZA","13","Bogotá D.C.","Todo terreno track","Honda","13","1:57:56.120","Enduro 1","5:59.148","3","1 Vuelta",""
"3","318","Oscar Javier CARVAJAL MOLINA","11","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","11","1:49:25.876","Enduro 1","7:32.133","1","3 Vueltas",""
"4","44","Elmer Camilo CASTAÑO TORO","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","9","1:46:47.340","Enduro 1","7:03.901","1","5 Vueltas",""
