"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","126","Simon OCAMPO BURBANO","15","Bogotá D.C.","Xspeed Racing","KTM","4","1:22:40.620","Infantil enduro 3","15:04.482","3","",""
"2","24","Juan Jose NAVARRETE SANCHEZ","13","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","2","1:28:32.917","Infantil enduro 3","35:55.312","1","2 Vueltas",""
