"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","878","Sebastián Vela Villa","15","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Beta","6","1:05:48.847","Inicio","9:31.628","4","",""
"2","55","Jorge Hernan Giraldo Gallego","13","Caldas","CLUB DE MOTOCICLISMO JP36","KTM","5","1:12:50.534","Inicio","12:27.444","2","1 Vuelta",""
"3","107","jorge Hernan montoya Jimenez","11","Caldas","CLUB DE MOTOCICLISMO JP36","KTM","5","1:18:35.794","Inicio","13:05.534","3","1 Vuelta",""
"4","91","Brayhan Exneyder ALVAREZ RESTREPO","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","3","1:04:29.749","Inicio","18:27.357","1","3 Vueltas",""
