"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","288","Daniel Lopez M","15","Valle del Cauca","Carasucias","Hero","4","1:06:38.442","No racer","13:56.214","4","",""
"2","15-E","Anderson Urrea","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","2","1:05:07.251","No racer","22:05.222","1","2 Vueltas",""
"3","666-E","Pablo zapata parra","11","Antioquia","STUNT FIVE","Honda","2","1:11:58.030","No racer","16:46.902","2","2 Vueltas",""
"NT","216","Carlos Mario HERNANDEZ RAMIREZ","10","Quindío","CLUB MONSTER GARAGE","Honda","1","1:05:03.894","No racer","1:00:50.491","1","NT",""
