"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","10","Cesar CORREA ESCOBAR","15","Valle del Cauca","Carasucias","Husqvarna","8","1:52:33.225","Enduro 3","13:06.832","7","",""
"2","231","Juan Camilo DORADO GOMEZ","13","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Beta","8","1:56:02.985","Enduro 3","13:32.366","3","3:29.760",""
"3","17","Franciso ALVAREZ NIÑO","11","Valle del Cauca","Carasucias","KTM","8","1:59:58.838","Enduro 3","13:30.000","7","7:25.613",""
"4","180","Duvan Ferney SALDAÑA MEDINA","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","8","2:04:12.747","Enduro 3","13:42.091","7","11:39.522",""
"5","105","Hosney Bustos Bustos","9","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","6","1:55:24.427","Enduro 3","16:24.089","6","2 Vueltas",""
"6","315","Luis Eduardo ORTIZ CONTRERAS","8","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","6","2:09:23.478","Enduro 3","19:33.961","2","2 Vueltas",""
