"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","82","Carlos Eduardo PELAEZ LONDOÑO","15","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","7","2:01:16.211","Master B","16:12.666","5","",""
"2","235-E","John Jairo cano Urrego","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","5","2:01:33.476","Master B","21:20.825","5","2 Vueltas",""
"3","188","Dino Osvaldo RENTERIA SALAZAR","11","Valle del Cauca","Carasucias","Beta","5","2:09:46.068","Master B","21:46.304","4","2 Vueltas",""
"4","476","Adolfo León RENGIFO","10","Valle del Cauca","Team Potenza","Husqvarna","2","1:52:50.989","Master B","24:37.457","1","5 Vueltas",""
"5","477","Bernardo ALVAREZ ACERO","9","Valle del Cauca","Carasucias","Husqvarna","1","1:52:54.229","Master B","1:48:13.938","1","6 Vueltas",""
"NT","73","Andres GONZALEZ URIBE","8","Antioquia","CLUB GRILLOS RACING","KTM","1","42:02.609","Master B","37:49.911","1","NT",""
