"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","26","Juan Jacobo RENGIFO GOMEZ","15","Valle del Cauca","Team Potenza","Husqvarna","5","1:48:58.239","Junior novatos","18:05.066","5","",""
"2","183","Miguel matius sanchez zapata","13","Antioquia","CLUB GRILLOS RACING","KTM","4","1:41:56.529","Junior novatos","16:53.927","3","1 Vuelta",""
