"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","801","Samuel MAYA SANCHEZ","15","Valle del Cauca","Carasucias","Yamaha","11","40:21.083","Infantil enduro 2","3:07.337","5","",""
"2","826","Andres Felipe RODRIGUEZ CASTILLO","13","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","11","42:31.257","Infantil enduro 2","3:10.599","2","2:10.174",""
"3","886","Maximiliano YEPES ZAMORANO","11","Antioquia","CLUB GRILLOS RACING","Yamaha","11","42:59.604","Infantil enduro 2","3:27.043","7","2:38.521",""
"4","449","Ivvana Rugeles Avendaño","10","Caldas","CLUB VILLAMARIA RACING CLUB","Yamaha","9","42:39.715","Infantil enduro 2","3:50.907","5","2 Vueltas",""
