"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","84","Jose Alejandro MOYANO MORENO","15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Beta","3","1:18:55.076","Juvenil","21:28.463","1","",""
"2","221","Juan José Pérez Murcia","13","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","GasGas","2","1:05:13.593","Juvenil","26:03.448","2","1 Vuelta",""
"3","20","Jeronimo MESA ESPINEL","11","Bogotá D.C.","Xspeed Racing","KTM","2","1:05:49.716","Juvenil","28:47.334","2","1 Vuelta",""
"4","34","Juan Sebastian CALDERON ROJAS","10","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Sherco","1","1:07:34.898","Juvenil","1:05:34.904","1","2 Vueltas",""
