"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","21","Jeronimo CASTILLO JIMENEZ","15","Bogotá D.C.","Xspeed Racing","KTM","4","15:15.993","Infantil enduro 1","3:08.989","2","",""
"2","78","Aranza ORTIZ ULLOA","13","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","4","15:17.856","Infantil enduro 1","3:12.874","3","1.863",""
"3","255","Juan Jose LEYTON ERASO","11","Risaralda","CLUB LOS GUEPARDOS","KTM","4","15:49.894","Infantil enduro 1","3:13.646","2","33.901",""
"4","110","Isaak Dominic CAICEDO CALLE","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","4","17:14.441","Infantil enduro 1","3:32.197","2","1:58.448",""
"5","831","Marthin Joel LIBERATO LONDOÑO","9","Bogotá D.C.","Racing pilots Academy","Yamaha","3","16:10.265","Infantil enduro 1","3:37.096","2","1 Vuelta",""
