"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","21","Jeronimo CASTILLO JIMENEZ","15","Bogotá D.C.","Xspeed Racing","KTM","4","17:13.041","Infantil enduro 1","3:31.765","3","",""
"2","78","Aranza ORTIZ ULLOA","13","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","4","17:41.542","Infantil enduro 1","3:37.174","2","28.501",""
"3","255","Juan Jose LEYTON ERASO","11","Risaralda","CLUB LOS GUEPARDOS","KTM","4","18:29.881","Infantil enduro 1","3:38.676","3","1:16.840",""
"4","110","Isaak Dominic CAICEDO CALLE","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","4","19:12.263","Infantil enduro 1","3:54.749","2","1:59.222",""
"5","831","Marthin Joel LIBERATO LONDOÑO","9","Bogotá D.C.","Racing pilots Academy","Yamaha","4","21:02.114","Infantil enduro 1","3:47.584","3","3:49.073",""
