"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","264","Killer Danilo GONZALEZ ROJAS","15","Cundinamarca","Club Velocidad Bogotá","Yamaha","7","2:04:15.674","Enduro 2","16:18.262","7","",""
"2","88","Pablo ANCIZAR KLOCH","13","Bogotá D.C.","Todo terreno track","Honda","6","1:55:04.410","Enduro 2","17:48.271","6","1 Vuelta",""
"3","377-E","Henry David Cubides","11","Valle del Cauca","Carasucias","Husqvarna","5","2:02:15.285","Enduro 2","21:21.587","4","2 Vueltas",""
"4","340","Juan Esteban MANCO DAVID","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","3","1:54:09.909","Enduro 2","25:19.728","1","4 Vueltas",""
"5","27","Diego Fernando GUEVARA LINARES","9","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","3","1:54:27.588","Enduro 2","32:14.938","1","4 Vueltas",""
