"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","999","Gino MOLINA FALDUTO","15","Valle del Cauca","Carasucias","Husqvarna","8","1:52:45.060","Master A","13:13.124","8","",""
"2","127","Diego PENAGOS ECHAVARRIA","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Husqvarna","8","2:00:56.332","Master A","13:44.299","7","8:11.272",""
"3","369","Mario Andrés Díaz Serrato","11","Valle del Cauca","Team Potenza","KTM","7","1:55:15.501","Master A","14:31.417","7","1 Vuelta",""
"4","412","Carlos Augusto GIRALDO BEDOYA","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","GasGas","7","2:02:48.276","Master A","16:18.702","4","1 Vuelta",""
"5","8","Sebastian VELEZ ARANGO","9","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","7","2:03:05.515","Master A","16:14.363","7","1 Vuelta",""
"6","176","Nestor CHAPARRO PARRA","8","Bogotá D.C.","Xspeed Racing","GasGas","7","2:11:17.562","Master A","17:26.595","2","1 Vuelta",""
"7","587","Bernardo ALVAREZ NIÑO","7","Valle del Cauca","Carasucias","KTM","4","2:17:53.779","Master A","22:52.675","3","4 Vueltas",""
