"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","65","Tomas JARAMILLO CARRANZA","15","Bogotá D.C.","Todo terreno track","Honda","8","1:52:59.660","Enduro 1","12:46.870","8","",""
"2","77","Guillermo Garcia Gonzalez","13","Cundinamarca","CLUB GIRARDOT RACING","Honda","6","1:48:07.107","Enduro 1","14:26.116","2","2 Vueltas",""
"3","44","Elmer Camilo CASTAÑO TORO","11","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","5","1:43:48.587","Enduro 1","18:21.294","4","3 Vueltas",""
"4","318","Oscar Javier CARVAJAL MOLINA","10","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","3","1:42:41.206","Enduro 1","20:41.624","3","5 Vueltas",""
"NT","96","Nestor Felipe URBINA MORENO","9","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","1","46:16.337","Enduro 1","42:29.816","1","NT",""
