"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Quindío","CLUB RUTEROS DEL QUINDIO","Beta","8","1:41:01.378","Junior","11:54.340","5","",""
"2","25","Juan Jose GIRALDO HENAO","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","8","1:42:20.991","Junior","12:05.651","8","1:19.613",""
"3","226","JOHAN DAVID BARRETO GOMEZ","11","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","8","1:42:25.871","Junior","11:37.228","8","1:24.493",""
"4","811","Mateo ROLDAN TOBON","10","Valle del Cauca","Carasucias","Yamaha","8","1:44:20.943","Junior","12:16.159","7","3:19.565",""
"5","876","Mateo VELA VILLA","9","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Beta","6","1:42:31.647","Junior","14:12.379","5","2 Vueltas",""
"6","63","Juan Gabriel ALVAREZ ORTIZ","8","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","KTM","5","1:47:11.897","Junior","15:29.563","5","3 Vueltas",""
