"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","VUELTAS","CR ","CR "
"1","243","David Fernando BURBANO GOMEZ","Supermoto","30","0","Husqvarna","Putumayo","TEAM RACING MOCOA","","15","15"
"2","98","Mateo CASTELLANOS CARVAJAL","SUPERMOTO","26","4","KTM","Caldas","CLUB JHC RACING","","13","13"
"3","227","Rigo German SALAZAR CERON","SUPERMOTO","22","8","Yamaha","Quindío","CLUB MONSTER GARAGE","","11","11"
"4","207","David Alejandro FORERO ZAPATA","SUPERMOTO","20","10","Husqvarna","Putumayo","TEAM RACING MOCOA","","10","10"
"5","68","Alvaro Javier PEREZ BERNAL","","18","12","KTM","QUNDÍO","CLUB DISCOVER QUINDIO","","9","9"
"6","27","Lisandro VASQUEZ RAMIREZ","SUPERMOTO","16","14","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","","8","8"
"NT","144","JOHN ANDRES VIVAS VARON","Supermoto","0","30","Husqvarna","Valle del Cauca","Dos Ruedas Racing Team","","0","0"
