"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","66","Miguel Angel ROJAS ALBA","15","Bogotá D.C.","Mx 2","Racing pilots Academy","KTM","1:30.243","1","","","19:02.573","12",""
"2","54","Thomas ZULUAGA GIRALDO","13","Antioquia","Mx 2","CLUB GRILLOS RACING","Yamaha","1:30.463","2","14.212","14.212","19:16.785","12",""
"3","627","JERONIMO ROMAN VELASQUEZ","11","Antioquia","Mx 2","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:34.197","4","1:00.821","46.609","20:03.394","12",""
"4","211","Yeison Alexander QUIÑONES RICO","10","Santander","Mx 2","CLUB MOTO FULL RACING TEAM","Honda","1:33.315","2","1:08.611","7.790","20:11.184","12",""
"5","107","Miguel Angel FLOREZ VALENCIA","9","Antioquia","Mx 2","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:36.274","3","1:12.571","3.960","20:15.144","12",""
"6","710","Juan David MENDOZA DUARTE","8","Meta","Mx 2","VILLAVICENCIO RACING CLUB","KTM","1:37.325","2","1 Vuelta","1 Vuelta","20:08.169","11",""
"NT","141","Isabella Villegas","0","","","","","","0","NT","","","",""
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","Quindío","Mx 2","CLUB RUTEROS DEL QUINDIO","Yamaha","","0","NT","","","",""
"NT","777","Euclides Antonio TORRES ROSALES","0","Bogotá D.C.","Mx 2","Xspeed Racing","KTM","","0","NT","","","",""
