"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","53","Simón RESTREPO GUZMAN","15","Antioquia","Mx pre-expertos","CLUB MOTOCROSS YARUMAL","Yamaha","1:35.168","3","","","17:38.270","10",""
"2","213","Jhon Alexander PICON BOLAÑOS","13","Cesar","Mx pre-expertos","VIRUS RACING","KTM","1:34.582","4","23.040","23.040","18:01.310","10",""
"3","811","SEBASTIAN LOPEZ MONCAYO","11","Nariño","Mx pre-expertos","CLUB DEPORTIVO BUFALO XTREM","KTM","1:38.641","2","44.605","21.565","18:22.875","10",""
"4","29","Jeronimo PIEDRAHITA HINCAPIE","10","Caldas","Mx pre-expertos","CLUB DE MOTOCICLISMO JP36","Honda","1:40.806","2","1:03.236","18.631","18:41.506","10",""
"5","454","Mateo ALVAREZ GONZALEZ","9","Antioquia","Mx pre-expertos","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:48.290","2","1 Vuelta","1 Vuelta","19:06.418","9",""
