"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","139","Valentino ZULETA CARDONA","3","Antioquia","65 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:41.194","5","","","12:44.543","7",""
"2","35","Juan Angel MORALES GALLEGO","2","Antioquia","65 cc","CLUB GRILLOS RACING","Yamaha","1:40.853","4","15.502","15.502","13:00.045","7",""
"3","888","Maximiliano YEPES ZAMORANO","1","Antioquia","65 cc","CLUB GRILLOS RACING","Yamaha","1:44.780","3","26.313","10.811","13:10.856","7",""
"4","121","Martin LONDOÑO VARGAS","1","Bogotá D.C.","65 cc","Xspeed Racing","Cobra","1:46.050","2","52.128","25.815","13:36.671","7",""
"5","916","Oskar David VERGARA ARIZA","1","Antioquia","65 cc","CLUB MOTOCROSS YARUMAL","Yamaha","1:51.678","3","1:45.732","53.604","14:30.275","7",""
"6","215","Sebastian LOPEZ CORTES","1","Nariño","65 cc","CLUB DEPORTIVO BUFALO XTREM","KTM","1:59.650","2","1 Vuelta","1 Vuelta","13:09.034","6",""
"7","998","Jeronimo pulgarin cardona","1","Antioquia","65 cc","CLUB MOTOCROSS DE YARUMAL","Yamaha","2:00.775","3","1 Vuelta","5.999","13:15.033","6",""
"8","12","Lucas VALENCIA MEJIA","1","Bogotá D.C.","65 cc","Racing pilots Academy","Kymco","2:02.242","1","1 Vuelta","51.732","14:06.765","6",""
