"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","75","Juan Pablo Cardona Carvajal","15","Antioquia","INICIO","CLUB MOTOCROSS YARUMAL","Yamaha","1:40.789","1","","","19:24.199","11",""
"2","E-707","Cristian Felipe Aguirre Vélez","13","Antioquia","INICIO","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:40.617","10","3.024","3.024","19:27.223","11",""
"3","227","Leonel giraldo jaramillo","11","Tolima","INICIO","GR 522 RACING","KTM","1:40.674","3","1:14.230","1:11.206","20:38.429","11",""
"4","73","Jerónimo OCAMPO CAMPUZANO","10","Caldas","INICIO","CLUB DE MOTOCICLISMO JP36","Yamaha","1:47.226","2","1 Vuelta","1 Vuelta","19:34.793","10",""
"5","97","Juan Camilo Restrepo Ospina","9","Antioquia","INICIO","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:48.058","3","1 Vuelta","14.348","19:49.141","10",""
"6","979","Luis Alejandro Atuesta Ardila","8","Santander","INICIO","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Honda","1:56.909","4","1 Vuelta","1:07.373","20:56.514","10",""
"7","57","JOSE MIGUEL SERRANO LARROTA","7","Santander","INICIO","CLUB DEPORTIVO SANTANDER MAX EXTREMO","GasGas","2:08.324","1","2 Vueltas","1 Vuelta","20:55.845","9",""
