"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","235","Paco TORRES CASTAÑEDA","3","Bogotá D.C.","Mx master","Xspeed Racing","Yamaha","1:34.640","1","","","11:35.311","6",""
"2","36","Jhon Jairo PINEDA VELASQUEZ","2","Caldas","Mx master","CLUB DE MOTOCICLISMO JP36","Honda","1:35.805","1","0.380","0.380","11:35.691","6",""
"3","79","Ricardo RESTREPO URIBE","1","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:42.516","2","1:06.241","1:05.861","12:41.552","6",""
"4","214","Damian Monroy Valencia","1","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:45.468","2","1:17.478","11.237","12:52.789","6",""
"5","254","Erick caruso","1","Cesar","Mx master","VIRUS RACING","KTM","1:49.468","1","1 Vuelta","1 Vuelta","11:56.922","5",""
