"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","222","Maximiliano RAMIREZ RESTREPO","15","Antioquia","85 cc Junior","STUNT FIVE","Yamaha","1:37.664","9","","","18:43.119","11",""
"2","120","Matias GOMEZ ORJUELA","13","Bogotá D.C.","85 cc Junior","Todo terreno track","KTM","1:36.867","6","19.232","19.232","19:02.351","11",""
"3","331","Juan Pablo CARMONA GIRALDO","11","Bogotá D.C.","85 cc Junior","Todo terreno track","GasGas","1:38.122","2","25.589","6.357","19:08.708","11",""
"4","113","Tomas VERGARA ARANZAZU","10","Antioquia","85 cc Junior","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:36.917","4","55.937","30.348","19:39.056","11",""
"5","301","Sebastian SANDOVAL VERGARA","9","Bogotá D.C.","85 cc Junior","Xspeed Racing","KTM","1:42.993","1","1:26.112","30.175","20:09.231","11",""
"6","762","Oscar Alejandro VALBUENA ECHEVERRI","8","Antioquia","85 cc Junior","CLUB DE MOTOCICLISMO STUNT FIVE","GasGas","1:50.705","10","1 Vuelta","1 Vuelta","19:40.612","10",""
"NT","111","Martin OSPINA CUELLO","0","Bogotá D.C.","85 cc Junior","Xspeed Racing","Yamaha","1:34.120","2","NT","","3:48.129","2",""
