"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","919","David CHACON GUZMAN","3","Bogotá D.C.","Mx pro","Todo terreno track","Honda","1:27.854","2","","","11:03.775","7",""
"2","66","Miguel Angel ROJAS ALBA","2","Bogotá D.C.","Mx pro","Racing pilots Academy","KTM","1:27.225","3","13.465","13.465","11:17.240","7",""
"3","54","Thomas ZULUAGA GIRALDO","1","Antioquia","Mx pro","CLUB GRILLOS RACING","Yamaha","1:30.481","2","27.555","14.090","11:31.330","7",""
"4","837","JHOAN ANDRES BARRAGAN ALVAREZ","1","Putumayo","Mx pro","TEAM RACING MOCOA","Honda","1:29.819","2","1 Vuelta","1 Vuelta","11:35.540","6",""
"5","235","Paco TORRES CASTAÑEDA","1","Bogotá D.C.","Mx pro","Xspeed Racing","Yamaha","1:36.768","3","1:04.843","37.288","12:08.618","7",""
"6","107","Miguel Angel FLOREZ VALENCIA","1","Antioquia","Mx pro","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","1:37.174","2","1:06.946","2.103","12:10.721","7",""
"NT","221","Peter FRISH KLEVER","0","Cesar","Mx pro","VIRUS RACING","GasGas","","0","NT","","","",""
