"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","141","Isabela VILLEGAS BRAND","15","Valle del Cauca","Femenina A","Team Potenza","Yamaha","1:41.791","8","","","16:06.704","9",""
"2","555","Luciana MORENO SALCEDO","13","Bogotá D.C.","Femenina A","Xspeed Racing","Yamaha","1:41.045","8","16.063","16.063","16:22.767","9",""
"3","834","Valery Fernanda ARIAS ARCOS","11","Nariño","Femenina A","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:45.671","1","1:19.707","1:03.644","17:26.411","9",""
