"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","607","Milan ORTIZ DUQUE","15","Bogotá D.C.","50 cc","Racing pilots Academy","Cobra","1:47.706","2","","","11:49.732","6",""
"2","206","Juan Martin HOYOS VASQUEZ","13","Antioquia","50 cc","STUNT FIVE","Yamaha","1:51.108","2","10.418","10.418","12:00.150","6",""
"3","133","Jorge Mario OCAMPO MEJIA","11","Antioquia","50 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Cobra","1:58.008","3","54.559","44.141","12:44.291","6",""
"4","317","Elias YEPES ZAMORANO","10","Antioquia","50 cc","CLUB GRILLOS RACING","Yamaha","2:06.359","1","1:53.423","58.864","13:43.155","6",""
"5","13","Valery DIAZ VELASQUEZ","9","Bogotá D.C.","50 cc","Todo terreno track","Cobra","2:18.447","4","1 Vuelta","1 Vuelta","12:56.018","5",""
"6","348","Diego Alejandro reyes Ramírez","8","Bogotá D.C.","50 cc","Todo terreno track","Husqvarna","2:18.412","4","1 Vuelta","1.560","12:57.578","5",""
"7","101","Martín Silva OROZCO","7","Caldas","50 cc","CLUB DE MOTOCICLISMO JP36","Honda","1:54.253","2","2 Vueltas","1 Vuelta","12:33.130","4",""
"8","499","Jared PEREZ CASTILLO","6","Quindío","50 cc","CLUB RUTEROS DEL QUINDIO","Yamaha","2:27.685","3","2 Vueltas","21.110","12:54.240","4",""
