"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","111","Martin OSPINA CUELLO","15","Bogotá D.C.","85 cc Junior","Xspeed Racing","Yamaha","1:34.163","3","","","11:43.457","7",""
"2","222","Maximiliano RAMIREZ RESTREPO","13","Antioquia","85 cc Junior","STUNT FIVE","Yamaha","1:37.502","3","37.003","37.003","12:20.460","7",""
"3","113","Tomas VERGARA ARANZAZU","11","Antioquia","85 cc Junior","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:39.011","6","37.004","0.001","12:20.461","7",""
"4","120","Matias GOMEZ ORJUELA","10","Bogotá D.C.","85 cc Junior","Todo terreno track","KTM","1:43.325","4","1:06.607","29.603","12:50.064","7",""
"5","301","Sebastian SANDOVAL VERGARA","9","Bogotá D.C.","85 cc Junior","Xspeed Racing","KTM","1:45.161","4","1:21.912","15.305","13:05.369","7",""
"6","762","Oscar Alejandro VALBUENA ECHEVERRI","8","Antioquia","85 cc Junior","CLUB DE MOTOCICLISMO STUNT FIVE","GasGas","1:53.479","1","1 Vuelta","1 Vuelta","13:17.353","6",""
"","331","Juan Pablo CARMONA GIRALDO","0","Bogotá D.C.","85 cc Junior","Todo terreno track","GasGas","1:39.052","2","5 Vueltas","4 Vueltas","11:53.409","2",""
