"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","607","Milan ORTIZ DUQUE","3","Bogotá D.C.","50 cc","Racing pilots Academy","Cobra","1:48.505","3","","","10:23.527","5",""
"2","206","Juan Martin HOYOS VASQUEZ","2","Antioquia","50 cc","STUNT FIVE","Yamaha","1:50.634","2","11.534","11.534","10:35.061","5",""
"3","101","Martín Silva OROZCO","1","Caldas","50 cc","CLUB DE MOTOCICLISMO JP36","Honda","1:57.420","2","44.780","33.246","11:08.307","5",""
"4","133","Jorge Mario OCAMPO MEJIA","1","Antioquia","50 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Cobra","1:58.066","2","54.085","9.305","11:17.612","5",""
"5","317","Elias YEPES ZAMORANO","1","Antioquia","50 cc","CLUB GRILLOS RACING","Yamaha","2:07.281","2","1 Vuelta","1 Vuelta","10:28.832","4",""
"6","13","Valery DIAZ VELASQUEZ","1","Bogotá D.C.","50 cc","Todo terreno track","Cobra","2:24.397","4","1 Vuelta","28.470","10:57.302","4",""
"7","348","Diego Alejandro reyes Ramírez","1","Bogotá D.C.","50 cc","Todo terreno track","Husqvarna","2:33.343","3","1 Vuelta","1:03.294","12:00.596","4",""
"8","499","Jared PEREZ CASTILLO","1","Quindío","50 cc","CLUB RUTEROS DEL QUINDIO","Yamaha","2:34.437","2","2 Vueltas","1 Vuelta","11:37.734","3",""
