"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","141","Isabela VILLEGAS BRAND","3","Valle del Cauca","Femenina A","Team Potenza","Yamaha","1:45.240","2","","","13:12.563","7",""
"2","555","Luciana MORENO SALCEDO","2","Bogotá D.C.","Femenina A","Xspeed Racing","Yamaha","1:43.066","4","6.082","6.082","13:18.645","7",""
"3","834","Valery Fernanda ARIAS ARCOS","1","Nariño","Femenina A","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:47.654","1","52.244","46.162","14:04.807","7",""
