"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","53","Simón RESTREPO GUZMAN","3","Antioquia","Mx pre-expertos","CLUB MOTOCROSS YARUMAL","Yamaha","1:38.091","5","","","12:28.876","7",""
"2","213","Jhon Alexander PICON BOLAÑOS","2","Cesar","Mx pre-expertos","VIRUS RACING","KTM","1:40.007","2","12.023","12.023","12:40.899","7",""
"3","811","SEBASTIAN LOPEZ MONCAYO","1","Nariño","Mx pre-expertos","CLUB DEPORTIVO BUFALO XTREM","KTM","1:42.199","5","16.223","4.200","12:45.099","7",""
"4","29","Jeronimo PIEDRAHITA HINCAPIE","1","Caldas","Mx pre-expertos","CLUB DE MOTOCICLISMO JP36","Honda","1:44.001","3","21.881","5.658","12:50.757","7",""
"5","454","Mateo ALVAREZ GONZALEZ","1","Antioquia","Mx pre-expertos","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:49.400","3","1:26.647","1:04.766","13:55.523","7",""
