"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","919","David CHACON GUZMAN","15","Bogotá D.C.","Mx pro","Todo terreno track","Honda","1:29.231","3","","","23:26.515","15",""
"2","66","Miguel Angel ROJAS ALBA","13","Bogotá D.C.","Mx pro","Racing pilots Academy","KTM","1:31.159","2","18.802","18.802","23:45.317","15",""
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","11","Putumayo","Mx pro","TEAM RACING MOCOA","Honda","1:30.821","4","58.669","39.867","24:25.184","15",""
"4","54","Thomas ZULUAGA GIRALDO","10","Antioquia","Mx pro","CLUB GRILLOS RACING","Yamaha","1:32.864","3","1:16.859","18.190","24:43.374","15",""
"5","235","Paco TORRES CASTAÑEDA","9","Bogotá D.C.","Mx pro","Xspeed Racing","Yamaha","1:37.891","8","1 Vuelta","1 Vuelta","24:06.224","14",""
"NT","107","Miguel Angel FLOREZ VALENCIA","0","Antioquia","Mx pro","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","","0","NT","","","",""
"NT","221","Peter FRISH KLEVER","0","Cesar","Mx pro","VIRUS RACING","GasGas","","0","NT","","","",""
