"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","66","Miguel Angel ROJAS ALBA","3","Bogotá D.C.","Mx 2","Racing pilots Academy","KTM","1:25.010","3","","","8:10.000","5",""
"2","777","Euclides Antonio TORRES ROSALES","2","Bogotá D.C.","Mx 2","Xspeed Racing","KTM","1:31.837","4","15.889","15.889","8:25.889","5",""
"3","54","Thomas ZULUAGA GIRALDO","1","Antioquia","Mx 2","CLUB GRILLOS RACING","Yamaha","1:32.511","3","18.309","2.420","8:28.309","5",""
"4","211","Yeison Alexander QUIÑONES RICO","1","Santander","Mx 2","CLUB MOTO FULL RACING TEAM","Honda","1:32.540","1","30.318","12.009","8:40.318","5",""
"5","627","JERONIMO ROMAN VELASQUEZ","1","Antioquia","Mx 2","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:34.931","4","35.353","5.035","8:45.353","5",""
"6","107","Miguel Angel FLOREZ VALENCIA","1","Antioquia","Mx 2","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:37.538","3","48.623","13.270","8:58.623","5",""
"7","710","Juan David MENDOZA DUARTE","1","Meta","Mx 2","VILLAVICENCIO RACING CLUB","KTM","1:37.994","2","1 Vuelta","1 Vuelta","8:55.998","4",""
"8","141","Isabella Villegas","1","","","","","1:48.477","1","1 Vuelta","31.652","9:27.650","4",""
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","Quindío","Mx 2","CLUB RUTEROS DEL QUINDIO","Yamaha","","0","NT","","","",""
