"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","999","Gino MOLINA FALDUTO","Master A","4:50.660","17","","","15","1:48:56.493","","21","Valle del Cauca","GasGas"
"2","8","Sebastian VELEZ ARANGO","Master A","4:44.213","16","46.522","46.522","13","1:49:43.015","","21","Antioquia","Yamaha"
"3","127","Diego PENAGOS ECHAVARRIA","Master A","4:49.509","17","1 Vuelta","1 Vuelta","11","1:45:47.831","","20","Antioquia","Husqvarna"
"4","176","Nestor CHAPARRO PARRA","Master A","5:32.942","14","2 Vueltas","1 Vuelta","10","1:49:55.484","","19","Bogotá D.C.","GasGas"
"5","369","Mario Andrés Díaz Serrato","Master A","5:24.880","14","2 Vueltas","1:02.478","9","1:50:57.962","","19","Valle del Cauca","KTM"
"6","587","Bernardo ALVAREZ NIÑO","Master A","5:38.398","16","4 Vueltas","2 Vueltas","8","1:48:20.046","","17","Valle del Cauca","KTM"
"7","882","William Eduardo CHIQUIZA GARZON","Master A","6:30.817","7","8 Vueltas","4 Vueltas","7","1:47:56.000","","13","Cundinamarca","GasGas"
"NT","412","Carlos Augusto GIRALDO BEDOYA","Master A","5:31.772","5","NT","","0","1:28:26.287","","6","Antioquia","GasGas"
