"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","17","Franciso ALVAREZ NIÑO","Enduro 3","4:49.665","13","","","15","1:45:19.036","","21","Valle del Cauca","Husqvarna"
"2","10","Cesar CORREA ESCOBAR","Enduro 3","4:55.624","16","1 Vuelta","1 Vuelta","13","1:48:02.710","","20","Valle del Cauca","Husqvarna"
"3","105","Hosney Bustos Bustos","Enduro 3","5:09.732","8","1 Vuelta","2:35.675","11","1:50:38.385","","20","Cundinamarca","KTM"
"4","390","Diego AGUILAR MARTINEZ","Enduro 3","5:14.628","2","2 Vueltas","1 Vuelta","10","1:45:22.646","","19","Valle del Cauca","KTM"
"5","315","Luis Eduardo ORTIZ CONTRERAS","Enduro 3","5:24.923","9","2 Vueltas","3:50.014","9","1:49:12.660","","19","Cundinamarca","KTM"
"6","174","Juan Daniel Gomez Ortiz","Enduro 3","5:46.908","17","4 Vueltas","2 Vueltas","8","1:49:50.470","","17","Bogotá D.C.","Husqvarna"
"7","267","sebastian rodriguez ruiz","Enduro 3","6:03.941","15","5 Vueltas","1 Vuelta","7","1:46:59.491","","16","Bogotá D.C.","Husqvarna"
"8","180","Duvan Ferney SALDAÑA MEDINA","Enduro 3","4:55.051","7","8 Vueltas","3 Vueltas","6","1:27:54.951","","13","Cundinamarca","Husqvarna"
"NT","231","Juan Camilo DORADO GOMEZ","Enduro 3","","0","NT","","0","","","","Cundinamarca","Beta"
