"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","126","Simon OCAMPO BURBANO","Infantil enduro 3","6:46.394","7","","","15","1:07:54.290","","9","Bogotá D.C.","GasGas"
"2","626","Juan Antonio PIEDRAHITA VARELA","Infantil enduro 3","6:26.908","7","1:44.479","1:44.479","13","1:09:38.769","","9","Risaralda","GasGas"
"3","24","Juan Jose NAVARRETE SANCHEZ","Infantil enduro 3","7:07.916","7","5:35.903","3:51.424","11","1:13:30.193","","9","Cundinamarca","Husqvarna"
"4","615","samuel hernandez rabe","Infantil enduro 3","8:23.778","4","2 Vueltas","2 Vueltas","10","1:09:18.468","","7","Valle del Cauca","GasGas"
