"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","255","Juan Jose LEYTON ERASO","Infantil enduro 1","1:29.630","7","","","15","12:43.612","","8","Risaralda","KTM"
"2","21","Jeronimo CASTILLO JIMENEZ","Infantil enduro 1","1:29.842","3","16.820","16.820","13","13:00.432","","8","Bogotá D.C.","KTM"
"3","110","Isaak Dominic CAICEDO CALLE","Infantil enduro 1","1:34.111","7","27.044","10.224","11","13:10.656","","8","Cundinamarca","KTM"
"4","319","Samuel BELTRÁN PRIETO","Infantil enduro 1","1:31.755","2","28.285","1.241","10","13:11.897","","8","Tolima","KTM"
"5","78","Aranza ORTIZ ULLOA","Infantil enduro 1","1:40.920","6","1 Vuelta","1 Vuelta","9","12:47.728","","7","Cundinamarca","KTM"
"6","831","Marthin Joel LIBERATO LONDOÑO","Infantil enduro 1","1:40.385","7","1 Vuelta","19.415","8","13:07.143","","7","Bogotá D.C.","Yamaha"
"7","157","Agustín ARAGÓN JIMENEZ","Infantil enduro 1","1:50.360","5","1 Vuelta","1:46.312","7","14:53.455","","7","Quindío","Husqvarna"
"8","209","Jeronimo Alvaréz","Infantil enduro 1","2:07.944","5","2 Vueltas","1 Vuelta","6","14:52.161","","6","Valle",""
