"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","32","Daniella ACOSTA SABOGAL","Femenina","6:23.529","7","","","15","1:04:27.843","","9","Bogotá D.C.","Husqvarna"
"2","28","Maria Paula SCARPATI SARMIENTO","Femenina","7:37.724","4","2 Vueltas","2 Vueltas","13","1:06:06.456","","7","Cundinamarca","Husqvarna"
