"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","84","Jose Alejandro MOYANO MORENO","Juvenil","5:19.926","9","","","15","1:04:16.283","","11","Cundinamarca","Beta"
"2","221","Juan José Pérez Murcia","Juvenil","5:32.129","9","1:19.657","1:19.657","13","1:05:35.940","","11","Cundinamarca","GasGas"
"3","34","Juan Sebastian CALDERON ROJAS","Juvenil","5:44.040","7","3:36.125","2:16.468","11","1:07:52.408","","11","Cundinamarca","Sherco"
"4","12","Thomas MESA RONDON","Juvenil","5:49.415","7","1 Vuelta","1 Vuelta","10","1:04:39.877","","10","Caldas","KTM"
"5","11","Juan Martin TARQUINO SUAREZ","Juvenil","6:05.465","10","1 Vuelta","1:42.613","9","1:06:22.490","","10","Cundinamarca","Husqvarna"
"6","710","Juan David MENDOZA DUARTE","Juvenil","5:50.532","2","1 Vuelta","1:37.253","8","1:07:59.743","","10","Meta","KTM"
"7","274","Andres Santiago PEREZ DIAZ","Juvenil","6:47.449","5","2 Vueltas","1 Vuelta","7","1:08:56.692","Ayuda externa","9","Bogotá D.C.","KTM"
"8","28","Maria Paula SCARPATI SARMIENTO","Juvenil","7:37.724","4","4 Vueltas","2 Vueltas","6","1:06:06.457","","7","Cundinamarca","Husqvarna"
"NT","49","Martin ARIAS","Juvenil","17:12.755","1","NT","","0","19:23.200","","1","Valle del Cauca","KTM"
